?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	26	3	1
?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	14	15	1
?c  <graduatedFrom>  ?b  ?c  <hasAcademicAdvisor>  ?a   => ?a  <worksAt>  ?b	14	16	0
?a  <hasAcademicAdvisor>  ?c  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b	13	16	2
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <imports>  ?b	3	27	0
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	13	15	2
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <diedIn>  ?b	1	22	7
?a  <produced>  ?b   => ?a  <directed>  ?b	0	30	0
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <exports>  ?b	6	24	0
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	29	1	0
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <imports>  ?b	8	22	0
?c  <isCitizenOf>  ?a  ?c  <livesIn>  ?b   => ?a  <hasCapital>  ?b	1	29	0
?a  <imports>  ?c  ?b  <exports>  ?c   => ?a  <dealsWith>  ?b	6	24	0
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	18	6	6
?a  <exports>  ?b   => ?a  <imports>  ?b	1	28	1
?c  <isCitizenOf>  ?a  ?c  <isLocatedIn>  ?b   => ?a  <hasCapital>  ?b	0	29	0
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	23	7	0
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	0	28	2
?a  <dealsWith>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	2	28	0
?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	4	25	1
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	1	28	1
?a  <directed>  ?b   => ?a  <created>  ?b	7	22	1
?a  <directed>  ?b   => ?a  <produced>  ?b	3	27	0
?a  <imports>  ?b   => ?a  <exports>  ?b	1	29	0
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <exports>  ?b	6	22	1
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b	13	15	2
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0	30	0
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b	10	20	0
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	30	0	0
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	2	25	3
?c  <dealsWith>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	3	28	0
?a  <produced>  ?b   => ?a  <created>  ?b	3	26	1
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	5	22	3
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <directed>  ?b	1	29	0
?c  <hasAcademicAdvisor>  ?a  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b	12	18	0
?c  <isCitizenOf>  ?a  ?c  <diedIn>  ?b   => ?a  <hasCapital>  ?b	0	30	0
?e  <dealsWith>  ?a  ?e  <exports>  ?b   => ?a  <exports>  ?b	1	29	0
?a  <dealsWith>  ?f  ?f  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	6	24	0
?e  <isMarriedTo>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b	24	0	6
?a  <livesIn>  ?f  ?f  <hasCapital>  ?b   => ?a  <livesIn>  ?b	5	22	3
