?c  <hasCapital>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	29	0	1
?a  <influences>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	14	15	1
?a  <isLeaderOf>  ?b  ?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	24	0	6
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	13	3	14
?a  <worksAt>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	8	0	22
?c  <wasBornIn>  ?a  ?c  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	1	29	0
?a  <diedIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	18	9	3
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	8	9	12
?c  <livesIn>  ?a  ?c  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	26	4	0
?c  <isLocatedIn>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	9	1	20
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	4	26	0
?a  <isLocatedIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	10	19	1
?c  <hasAcademicAdvisor>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	11	0	19
?a  <hasChild>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	0	30	0
?c  <influences>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	11	19	0
?a  <hasAcademicAdvisor>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	19	0	11
?c  <isMarriedTo>  ?a  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	0	28	2
?a  <hasChild>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	29	0	1
?a  <hasChild>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	13	2	15
?a  <wasBornIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	16	12	2
?a  <wasBornIn>  ?b  ?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	17	11	1
?c  <isMarriedTo>  ?a  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	4	14	12
?c  <hasChild>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	27	3	0
?c  <diedIn>  ?a  ?c  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	6	24	0
?a  <wasBornIn>  ?b  ?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	15	0	15
?c  <hasChild>  ?a  ?c  <isKnownFor>  ?b   => ?a  <isCitizenOf>  ?b	4	26	0
?a  <wasBornIn>  ?b  ?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	2	6	22
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	1	12	17
?a  <livesIn>  ?b  ?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0	29	1
?a  <isMarriedTo>  ?c  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	3	20	7
