?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	14	15	1
?a  <directed>  ?b   => ?a  <created>  ?b	7	22	1
?a  <imports>  ?b   => ?a  <exports>  ?b	1	29	0
?c  <hasAcademicAdvisor>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	2	28	0
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	12	16	2
?a  <produced>  ?b   => ?a  <directed>  ?b	0	30	0
?e  <isMarriedTo>  ?a  ?e  <hasChild>  ?b   => ?a  <hasChild>  ?b	10	19	1
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b	13	15	2
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	30	0	0
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <imports>  ?b	8	22	0
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0	30	0
?e  <isMarriedTo>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b	24	0	6
?c  <isCitizenOf>  ?b  ?a  <influences>  ?c   => ?a  <isCitizenOf>  ?b	1	29	0
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b	10	20	0
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	18	6	6
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	30	0	0
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	1	27	2
?a  <exports>  ?b   => ?a  <imports>  ?b	1	28	1
?a  <produced>  ?b   => ?a  <created>  ?b	3	26	1
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	23	7	0
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	5	22	3
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <directed>  ?b	1	29	0
?a  <isMarriedTo>  ?f  ?f  <hasChild>  ?b   => ?a  <hasChild>  ?b	10	20	0
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	19	1	10
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	0	28	2
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	1	28	1
?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	26	3	1
?a  <dealsWith>  ?f  ?f  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	6	24	0
?c  <dealsWith>  ?b  ?a  <dealsWith>  ?c   => ?a  <dealsWith>  ?b	8	22	0
?c  <hasAcademicAdvisor>  ?a  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b	7	23	0
?a  <livesIn>  ?f  ?f  <hasCapital>  ?b   => ?a  <livesIn>  ?b	1	5	3
