?a  <dealsWith>  ?c  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	789
?a  <created>  ?b   => ?a  <directed>  ?b	9462
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <exports>  ?b	730
?a  <isMarriedTo>  ?c  ?c  <directed>  ?b   => ?a  <directed>  ?b	250
?a  <dealsWith>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	497
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b	714
?a  <isMarriedTo>  ?c  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	91
?a  <isCitizenOf>  ?c  ?c  <dealsWith>  ?b   => ?a  <isCitizenOf>  ?b	1803
?a  <produced>  ?b   => ?a  <directed>  ?b	550
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	69
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	1761
?a  <exports>  ?b   => ?a  <imports>  ?b	333
?a  <imports>  ?b   => ?a  <exports>  ?b	199
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <imports>  ?b	738
?a  <actedIn>  ?b   => ?a  <directed>  ?b	4859
?a  <isMarriedTo>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	91
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	639
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	1797
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <diedIn>  ?b	367
?a  <dealsWith>  ?c  ?c  <hasCurrency>  ?b   => ?a  <hasCurrency>  ?b	209
?a  <hasChild>  ?c  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	142
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	335
?a  <livesIn>  ?c  ?c  <hasCapital>  ?b   => ?a  <livesIn>  ?b	82
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	451
?a  <isMarriedTo>  ?c  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	17
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	357
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	746
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	460
?a  <isMarriedTo>  ?c  ?c  <isLeaderOf>  ?b   => ?a  <isLeaderOf>  ?b	28
?a  <isMarriedTo>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	9
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	87
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	409
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	88
?a  <hasChild>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	40
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <livesIn>  ?b	386
?a  <influences>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	165
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	468
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	666
?a  <influences>  ?c  ?c  <isInterestedIn>  ?b   => ?a  <isInterestedIn>  ?b	132
?a  <isLocatedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	1085
?a  <isLocatedIn>  ?b   => ?a  <diedIn>  ?b	6649
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	82
?a  <hasAcademicAdvisor>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	47
?a  <hasAcademicAdvisor>  ?c  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	22
?a  <wasBornIn>  ?b   => ?a  <isLeaderOf>  ?b	1821
?a  <influences>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	32
?a  <isCitizenOf>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	33
?a  <hasAcademicAdvisor>  ?c  ?c  <hasAcademicAdvisor>  ?b   => ?a  <hasAcademicAdvisor>  ?b	80
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	171
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	2177
?a  <hasCapital>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	1
?a  <hasAcademicAdvisor>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	9
?a  <hasChild>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	7
?a  <isMarriedTo>  ?c  ?c  <hasMusicalRole>  ?b   => ?a  <hasMusicalRole>  ?b	19
?a  <influences>  ?c  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	44
