?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	15	12	3
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	18	3	9
?a  <hasAcademicAdvisor>  ?c  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b	5	19	1
?a  <directed>  ?b   => ?a  <produced>  ?b	4	24	2
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <exports>  ?b	4	26	0
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <imports>  ?b	5	25	0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	30	0	0
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	20	10	0
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	5	25	0
?a  <produced>  ?b   => ?a  <directed>  ?b	0	30	0
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <exports>  ?b	5	20	5
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <imports>  ?b	11	19	0
?c  <isCitizenOf>  ?a  ?c  <livesIn>  ?b   => ?a  <hasCapital>  ?b	1	29	0
?a  <influences>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	11	19	0
?c  <dealsWith>  ?b  ?a  <dealsWith>  ?c   => ?a  <dealsWith>  ?b	7	23	0
?a  <imports>  ?c  ?b  <exports>  ?c   => ?a  <dealsWith>  ?b	5	25	0
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b	26	4	0
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	25	5	0
?a  <livesIn>  ?f  ?f  <hasCapital>  ?b   => ?a  <livesIn>  ?b	6	18	6
?e  <dealsWith>  ?a  ?e  <exports>  ?b   => ?a  <exports>  ?b	6	18	6
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <wasBornIn>  ?b	4	20	6
?c  <dealsWith>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	1	29	0
?a  <exports>  ?b   => ?a  <imports>  ?b	1	29	0
?c  <isCitizenOf>  ?a  ?c  <isLocatedIn>  ?b   => ?a  <hasCapital>  ?b	0	29	0
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	3	27	0
?a  <produced>  ?b   => ?a  <created>  ?b	1	29	0
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	21	9	0
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	2	7	21
?c  <hasAcademicAdvisor>  ?a  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b	5	25	0
?a  <isMarriedTo>  ?f  ?f  <hasChild>  ?b   => ?a  <hasChild>  ?b	21	7	2
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23	4	3
?c  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?c   => ?a  <isCitizenOf>  ?b	1	29	0
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	1	18	11
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	25	3	2
?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	8	20	2
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	5	23	2
?a  <diedIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isPoliticianOf>  ?b	4	26	0
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	1	29	0
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	4	26	0
