?c  <isMarriedTo>  ?a  ?c  <hasChild>  ?b   => ?a  <hasChild>  ?b	11	18	1	0.57565326	0.57565326	2712
?a  <isMarriedTo>  ?c  ?c  <hasChild>  ?b   => ?a  <hasChild>  ?b	10	20	0	0.56113903	0.56113903	2882
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	30	0	0	0.53014258	0.91785766	5635
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <directed>  ?b	1	29	0	0.49827501	0.58676727	1018
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	1	28	1	0.38285145	0.45229682	619
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	18	6	6	0.33705773	0.6988417	356
?a  <dealsWith>  ?c  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	6	24	0	0.28194103	0.28194103	1169
?c  <dealsWith>  ?b  ?a  <dealsWith>  ?c   => ?a  <dealsWith>  ?b	8	22	0	0.28194103	0.28194103	1169
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	19	1	10	0.22807018	0.68421053	572
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	5	22	3	0.20638086	0.38983051	796
?a  <directed>  ?b   => ?a  <created>  ?b	7	22	1	0.18752427	0.32464443	27196
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	26	3	1	0.1780224	0.1780224	4331
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	23	7	0	0.17321165	0.40981461	8969
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	0	28	2	0.1610642	0.37472202	5266
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	12	16	2	0.15442452	0.2177814	1462
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b	10	20	0	0.14285714	0.64285714	108
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	30	0	0	0.13642961	0.18323587	595
?b  <hasCapital>  ?c  ?a  <livesIn>  ?c   => ?a  <livesIn>  ?b	14	15	1	0.13490451	0.13490451	4258
?c  <hasAcademicAdvisor>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	2	28	0	0.13444109	0.39035088	573
?a  <imports>  ?b   => ?a  <exports>  ?b	1	29	0	0.13095238	0.14473684	292
?a  <produced>  ?b   => ?a  <directed>  ?b	0	30	0	0.11255948	0.13395069	17905
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b	13	15	2	0.10581506	0.14879357	938
?c  <isCitizenOf>  ?b  ?a  <influences>  ?c   => ?a  <isCitizenOf>  ?b	1	29	0	0.10564399	0.51957295	1236
?a  <produced>  ?b   => ?a  <created>  ?b	3	26	1	0.10056503	0.15689762	18147
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <imports>  ?b	8	22	0	0.09282178	0.14097744	733
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	1	27	2	0.08990148	0.16246291	2217
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0	30	0	0.08846362	0.22531325	20196
?a  <exports>  ?b   => ?a  <imports>  ?b	1	28	1	0.08678501	0.10328638	463
