?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	29	0	1
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	4	26	0
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	4	26	0
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	17	7	6
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23	6	1
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	17	11	2
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b	9	21	0
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <directed>  ?b	0	30	0
?e  <isMarriedTo>  ?a  ?e  <hasChild>  ?b   => ?a  <hasChild>  ?b	10	19	1
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	1	29	0
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0	29	1
?a  <isMarriedTo>  ?f  ?f  <hasChild>  ?b   => ?a  <hasChild>  ?b	10	20	0
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	1	28	1
?c  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?c   => ?a  <isCitizenOf>  ?b	1	28	1
?a  <influences>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	1	29	0
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0	28	0
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0	30	0
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	21	4	5
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	21	9	0
?a  <diedIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isPoliticianOf>  ?b	6	23	1
?c  <hasAcademicAdvisor>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	1	29	0
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	0	21	9
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	29	0	1
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <diedIn>  ?b	0	30	0
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	1	22	7
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	1	29	0
?a  <directed>  ?b   => ?a  <created>  ?b	5	19	6
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	1	29	0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	29	0	1
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	2	0	28
