?a  <isLeaderOf>  ?b  ?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	3	3
?a  <wasBornIn>  ?b  ?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	62	62
?a  <worksAt>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	3	3
?a  <hasAcademicAdvisor>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	9	9
?c  <hasAcademicAdvisor>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	14	15
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	88	88
?a  <hasChild>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	7	7
?c  <hasChild>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	37	37
?c  <livesIn>  ?a  ?c  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	11	11
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	2177	2177
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	355	357
?c  <diedIn>  ?a  ?c  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	13	16
?a  <wasBornIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	401	402
?a  <wasBornIn>  ?b  ?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	26	26
?c  <isMarriedTo>  ?a  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	84	84
?a  <livesIn>  ?b  ?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	10	10
?a  <hasChild>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	40	40
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	608	666
?c  <wasBornIn>  ?a  ?c  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	14	17
?a  <hasChild>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	15	15
?a  <wasBornIn>  ?b  ?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	27	27
?c  <hasChild>  ?a  ?c  <isKnownFor>  ?b   => ?a  <isCitizenOf>  ?b	46	50
?c  <hasCapital>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	185	235
?c  <isLocatedIn>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	65	65
?a  <influences>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	30	30
?c  <influences>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	58	58
?a  <isLocatedIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	340	340
?a  <diedIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	184	216
?a  <isMarriedTo>  ?c  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	91	91
?c  <isMarriedTo>  ?a  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	89	156
?c  <wasBornIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	76	76
?b  <hasCapital>  ?a   => ?a  <isLocatedIn>  ?b	251	264
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	19	22
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	37	59
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	32	32
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	684	746
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	409	409
?c  <hasChild>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	59	64
?a  <isMarriedTo>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	50	88
?a  <isLeaderOf>  ?b  ?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	3	3
?a  <isMarriedTo>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	8	9
?c  <isMarriedTo>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	14	20
?a  <dealsWith>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	71	71
?c  <dealsWith>  ?a  ?c  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	65	80
?a  <hasCapital>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	1	1
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	499	635
?c  <diedIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	30	37
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	231	330
?a  <livesIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	39	44
?a  <isLocatedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	979	1085
?c  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?c   => ?a  <isCitizenOf>  ?b	0	1085
?c  <livesIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	37	42
